,true,1,2,3,4,5,min3,min4,min5,accuracy_mean_over_folds,accuracy_std_over_folds,boot_acc_mean_over_folds,boot_mean_accs_of_folds,boot_quantile_lower_acc_of_folds,boot_quantile_upper_acc_of_folds,boot_accuracy_std_of_folds
CW_a_mor_aa_LOGR,100.0,77.3,76.92,77.08,77.13,77.18,77.39,75.38,72.6,77.12,0.14,77.12,"[77.30255722999573, 76.92733407020569, 77.06282138824463, 77.12464928627014, 77.15952396392822]","[76.27618408203125, 75.9073257446289, 76.0488510131836, 76.17716217041016, 76.247802734375]","[78.31885528564453, 77.95330810546875, 78.11627960205078, 78.17649841308594, 78.24528503417969]","[0.5364763550460339, 0.5459977313876152, 0.5265291780233383, 0.5272500216960907, 0.5073345731943846]"
CW_a_mor_ba_CNN,100.0,78.64,78.63,77.99,78.27,79.24,79.15,75.36,68.41,78.55,0.47,78.56,"[78.66581082344055, 78.64245176315308, 77.98578143119812, 78.28643918037415, 79.24421429634094]","[77.61355590820312, 77.6497802734375, 77.0072250366211, 77.3392333984375, 78.16199493408203]","[79.69419860839844, 79.6377944946289, 78.99798583984375, 79.1873550415039, 80.23985290527344]","[0.5054424051195383, 0.5190310534089804, 0.5126057658344507, 0.4937763325870037, 0.5212541669607162]"
CW_a_mor_bb_MTCNN,100.0,78.66,78.63,78.22,78.7,78.73,79.25,75.36,68.77,78.59,0.21,78.59,"[78.64844799041748, 78.65964770317078, 78.23774218559265, 78.70248556137085, 78.72225642204285]","[77.72065734863281, 77.63787078857422, 77.11357116699219, 77.6853256225586, 77.60538482666016]","[79.68475341796875, 79.75060272216797, 79.25516510009766, 79.77499389648438, 79.7553939819336]","[0.5003172904253006, 0.5199186969548464, 0.5315916612744331, 0.5109249614179134, 0.5203633569180965]"
CW_a_mor_ca_HISAN,100.0,79.42,79.73,79.92,78.08,79.55,80.48,76.56,68.58,79.34,0.73,79.33,"[79.42663431167603, 79.73303198814392, 79.92205619812012, 78.06616425514221, 79.52564358711243]","[78.25077819824219, 78.74307250976562, 78.89537048339844, 77.0122299194336, 78.57940673828125]","[80.3985366821289, 80.74214172363281, 80.86910247802734, 79.02236938476562, 80.49139404296875]","[0.5244582425802946, 0.4964000079780817, 0.5150712560862303, 0.5099243018776178, 0.49908547662198544]"
CW_a_mor_cb_MTHISAN,100.0,77.54,78.86,78.3,77.49,79.11,79.61,74.86,66.54,78.26,0.74,78.26,"[77.53968834877014, 78.87483239173889, 78.28402519226074, 77.49750018119812, 79.08578515052795]","[76.49700927734375, 77.87298583984375, 77.2332763671875, 76.40906524658203, 78.055908203125]","[78.65100860595703, 79.88771057128906, 79.35546875, 78.4356689453125, 80.16797637939453]","[0.5263783968985081, 0.5245895124971867, 0.5237703211605549, 0.5259508732706308, 0.5177872255444527]"
CW_a_mor_da_BERT,100.0,81.58,81.43,81.56,81.33,80.49,82.06,78.83,73.57,81.28,0.45,81.25,"[81.558096408844, 81.42706155776978, 81.52137994766235, 81.30256533622742, 80.46522736549377]","[80.6418685913086, 80.53475189208984, 80.6344223022461, 80.3633804321289, 79.53965759277344]","[82.42932891845703, 82.37736511230469, 82.46341705322266, 82.21837615966797, 81.3766860961914]","[0.47665461897850037, 0.4765210207551718, 0.4689399618655443, 0.4848073236644268, 0.47858129255473614]"
CW_a_mor_db_MTBERT,100.0,79.87,80.91,81.38,81.19,81.02,81.64,78.47,73.47,80.87,0.59,80.85,"[79.85339164733887, 80.87319135665894, 81.36104345321655, 81.15893602371216, 81.00233674049377]","[78.82853698730469, 79.93010711669922, 80.41048431396484, 80.20310974121094, 80.05182647705078]","[80.85514068603516, 81.81710815429688, 82.30403137207031, 82.13529968261719, 81.86616516113281]","[0.5116112530231476, 0.494570005685091, 0.48389844596385956, 0.4920491948723793, 0.4770801402628422]"
CW_b_his_aa_LOGR,100.0,79.84,79.81,79.87,80.08,79.93,80.13,78.57,75.72,79.91,0.1,79.9,"[79.8391342163086, 79.80237007141113, 79.86902594566345, 80.07339835166931, 79.92369532585144]","[78.91947937011719, 78.74868774414062, 78.87366485595703, 79.0762939453125, 78.99737548828125]","[80.77969360351562, 80.78169250488281, 80.74372100830078, 81.06390380859375, 80.95767211914062]","[0.4956993740051985, 0.512462854385376, 0.4919949918985367, 0.5003395490348339, 0.49300631508231163]"
CW_b_his_ba_CNN,100.0,81.13,81.12,79.93,81.15,80.96,81.91,77.79,70.71,80.86,0.52,80.84,"[81.09378814697266, 81.11534118652344, 79.92194890975952, 81.13283514976501, 80.94609379768372]","[80.19074249267578, 80.0513916015625, 78.93701934814453, 80.2405014038086, 79.98816680908203]","[82.01229095458984, 82.04695892333984, 80.85279083251953, 81.9947280883789, 81.92339324951172]","[0.4595670383423567, 0.5030364729464054, 0.48096487298607826, 0.4469181876629591, 0.4828705918043852]"
CW_b_his_bb_MTCNN,100.0,82.01,82.17,81.65,81.91,81.28,82.62,79.29,73.05,81.8,0.35,81.78,"[81.99182152748108, 82.15503096580505, 81.62615299224854, 81.8899929523468, 81.25080466270447]","[81.02916717529297, 81.19407653808594, 80.5754623413086, 80.90377807617188, 80.29476165771484]","[82.8743896484375, 83.0527572631836, 82.55512237548828, 82.81957244873047, 82.07772064208984]","[0.48309783451259136, 0.4710112698376179, 0.4957588855177164, 0.4814542829990387, 0.4767955746501684]"
