,true,1,2,3,4,5,min3,min4,min5,fmacro_mean_over_folds,fmacro_std_over_folds,boot_fmac_mean_over_folds,boot_mean_fmacs_of_folds,boot_quantile_lower_fmac_of_folds,boot_quantile_upper_fmac_of_folds,boot_fmac_std_of_folds,n_true_classes_in_folds,n_unique_classes_in_folds
CW_a_mor_aa_LOGR,100.0,54.29,53.73,53.35,53.49,53.77,54.15,52.95,50.79,53.72,0.36,53.64,"[54.198312759399414, 53.63365411758423, 53.28651666641235, 53.409457206726074, 53.673845529556274]","[52.56524658203125, 52.02734375, 51.75521469116211, 51.657283782958984, 51.92645263671875]","[55.606597900390625, 55.219329833984375, 54.8835334777832, 55.00567626953125, 55.38563537597656]","[0.7947833277285099, 0.8142275735735893, 0.8160781115293503, 0.8356811478734016, 0.880923680961132]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_ba_CNN,100.0,58.9,59.16,58.46,60.73,59.64,59.99,58.38,54.63,59.38,0.87,59.29,"[58.874619007110596, 59.09380912780762, 58.3141028881073, 60.64068675041199, 59.54737067222595]","[57.16313171386719, 57.48900604248047, 56.585384368896484, 58.79842758178711, 57.73980712890625]","[60.78461837768555, 60.828208923339844, 59.988182067871094, 62.627349853515625, 61.49610137939453]","[0.9080655872821808, 0.8571382611989975, 0.9021101519465446, 0.9972565807402134, 0.9569551795721054]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_bb_MTCNN,100.0,59.19,59.08,57.77,59.16,58.21,59.45,58.15,54.23,58.68,0.65,58.61,"[59.06914472579956, 58.993107080459595, 57.67903923988342, 59.15796160697937, 58.149176836013794]","[57.298152923583984, 57.31703567504883, 55.98944854736328, 57.59904861450195, 56.46647262573242]","[61.04800033569336, 60.593753814697266, 59.44886779785156, 61.1302604675293, 59.765140533447266]","[0.9796760976314545, 0.8485264144837856, 0.8787075057625771, 0.9469526819884777, 0.8245503529906273]",16.0,"[16.0, 15.0, 16.0, 16.0, 16.0]"
CW_a_mor_ca_HISAN,100.0,60.0,59.67,60.74,56.46,60.99,61.92,59.99,53.5,59.57,1.82,59.5,"[59.92950797080994, 59.59327816963196, 60.6017529964447, 56.418246030807495, 60.94661355018616]","[58.16039276123047, 57.82206726074219, 58.8508415222168, 54.95729446411133, 59.16741943359375]","[61.718814849853516, 61.56956481933594, 62.282562255859375, 58.09845733642578, 62.63652038574219]","[0.9319248609244823, 0.929667241871357, 0.9134811349213123, 0.8234909735620022, 0.8773236535489559]",16.0,"[16.0, 16.0, 15.0, 16.0, 16.0]"
CW_a_mor_cb_MTHISAN,100.0,57.56,59.9,58.71,57.59,60.26,61.16,58.94,52.37,58.8,1.26,58.71,"[57.515907287597656, 59.741950035095215, 58.632951974868774, 57.499223947525024, 60.1826548576355]","[55.86454391479492, 57.792091369628906, 57.014801025390625, 55.9211311340332, 58.501338958740234]","[59.16812515258789, 61.75846862792969, 59.92023849487305, 58.850894927978516, 61.955589294433594]","[0.8572062477469444, 0.9608306922018528, 0.7931755855679512, 0.7707280572503805, 0.8881286717951298]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_da_BERT,100.0,62.51,61.98,62.18,62.31,61.68,63.85,62.75,59.7,62.13,0.32,62.05,"[62.46076226234436, 61.859941482543945, 62.072205543518066, 62.25389242172241, 61.60533428192139]","[60.83623123168945, 59.764583587646484, 60.35819625854492, 60.75273895263672, 59.97993469238281]","[64.12187194824219, 63.62764358520508, 63.81770324707031, 63.99536895751953, 63.13702392578125]","[0.8591233752667904, 0.9219597093760967, 0.894414633512497, 0.8485656231641769, 0.7989406585693359]",16.0,"[16.0, 16.0, 16.0, 16.0, 16.0]"
CW_a_mor_db_MTBERT,100.0,57.3,60.92,62.11,61.96,61.59,62.3,61.24,56.96,60.78,2.0,60.68,"[57.22959637641907, 60.740816593170166, 61.9799017906189, 61.88235282897949, 61.552733182907104]","[55.85901641845703, 59.1898307800293, 60.59280776977539, 60.63228225708008, 60.073280334472656]","[58.505672454833984, 62.206298828125, 63.365509033203125, 63.31821060180664, 63.09037780761719]","[0.6676157005131245, 0.7618502713739872, 0.7251935545355082, 0.6905852351337671, 0.7695694454014301]",16.0,"[14.0, 16.0, 15.0, 14.0, 15.0]"
CW_b_his_aa_LOGR,100.0,59.56,59.2,59.09,59.51,58.51,59.5,58.86,56.98,59.17,0.42,59.09,"[59.483617544174194, 59.12107229232788, 58.99914503097534, 59.437161684036255, 58.39519500732422]","[57.85566711425781, 57.380104064941406, 57.29098892211914, 57.624332427978516, 56.61873245239258]","[61.15244674682617, 61.017417907714844, 60.70458221435547, 61.20690155029297, 60.243648529052734]","[0.8951429277658463, 0.9055144153535366, 0.9083318524062634, 0.9241673164069653, 0.9426344186067581]",13.0,"[13.0, 13.0, 13.0, 13.0, 13.0]"
CW_b_his_ba_CNN,100.0,64.5,63.53,64.12,65.83,64.67,66.64,65.06,60.21,64.53,0.85,64.45,"[64.52124118804932, 63.41431736946106, 64.04077410697937, 65.74029326438904, 64.55301642417908]","[62.889278411865234, 61.34501647949219, 62.1126708984375, 63.80116271972656, 63.02241134643555]","[66.22860717773438, 65.4487533569336, 65.92081451416016, 67.88189697265625, 66.12548828125]","[0.8744222111999989, 1.0625352151691914, 0.9760189801454544, 0.9919817559421062, 0.8335239253938198]",13.0,"[13.0, 13.0, 13.0, 13.0, 13.0]"
CW_b_his_bb_MTCNN,100.0,64.13,65.36,65.88,65.91,64.33,67.2,65.41,60.86,65.12,0.85,65.03,"[64.04189467430115, 65.26573300361633, 65.75369238853455, 65.84635972976685, 64.26672339439392]","[62.33940887451172, 63.591575622558594, 63.63890838623047, 64.32232666015625, 62.16234588623047]","[65.69940948486328, 66.9613265991211, 67.46233367919922, 67.45195007324219, 66.30329132080078]","[0.9209785610437393, 0.8638207800686359, 1.035214215517044, 0.8513999171555042, 1.1033417657017708]",13.0,"[13.0, 12.0, 13.0, 13.0, 13.0]"
CW_b_his_ca_HISAN,100.0,65.37,66.36,66.2,65.33,65.81,67.7,65.84,61.26,65.82,0.47,65.75,"[65.28784036636353, 66.26028418540955, 66.13503098487854, 65.24522304534912, 65.80685377120972]","[63.68879699707031, 64.4063491821289, 64.54161071777344, 63.13152313232422, 63.99475860595703]","[66.99825286865234, 68.04163360595703, 67.48260498046875, 67.18193054199219, 67.66478729248047]","[0.8978469297289848, 0.9363653138279915, 0.7729739416390657, 1.0850955732166767, 0.9521528147161007]",13.0,"[13.0, 13.0, 13.0, 13.0, 13.0]"
CW_b_his_cb_MTHISAN,100.0,66.95,66.65,65.72,66.87,66.84,68.33,67.36,63.2,66.6,0.51,66.52,"[66.91656708717346, 66.58897399902344, 65.61895608901978, 66.73426032066345, 66.75906181335449]","[65.17079162597656, 64.72029113769531, 63.818729400634766, 65.02714538574219, 65.15349578857422]","[69.07975006103516, 68.53628540039062, 67.32747650146484, 68.68704223632812, 68.4450454711914]","[1.0089139454066753, 0.954525638371706, 0.9157055988907814, 0.9501904249191284, 0.9021047502756119]",13.0,"[13.0, 13.0, 12.0, 13.0, 13.0]"
CW_b_his_da_BERT,100.0,67.37,67.34,68.19,65.61,66.74,67.83,67.22,64.87,67.05,0.96,66.98,"[67.25652813911438, 67.28334426879883, 68.08222532272339, 65.53270220756531, 66.73230528831482]","[65.37757873535156, 65.67394256591797, 66.317138671875, 64.12156677246094, 65.00167846679688]","[69.22859954833984, 69.00041961669922, 69.7681655883789, 66.93942260742188, 68.31648254394531]","[0.9898737072944641, 0.8345361799001694, 0.8506566286087036, 0.7686006836593151, 0.8636452257633209]",13.0,"[13.0, 13.0, 12.0, 12.0, 13.0]"
CW_b_his_db_MTBERT,100.0,65.74,65.94,67.29,67.39,65.73,66.97,66.62,64.06,66.42,0.85,66.34,"[65.67891240119934, 65.84020256996155, 67.12427139282227, 67.3658549785614, 65.68064093589783]","[64.0205307006836, 64.1259994506836, 65.4178237915039, 65.88441467285156, 64.14924621582031]","[67.35081481933594, 67.36058807373047, 68.8289794921875, 69.08676147460938, 67.29962921142578]","[0.9145685471594334, 0.8611987344920635, 0.8728421293199062, 0.8118132129311562, 0.8131037466228008]",13.0,"[12.0, 12.0, 12.0, 13.0, 13.0]"
CW_c_beh_aa_LOGR,100.0,71.91,71.58,71.51,71.96,71.38,71.88,71.56,69.83,71.67,0.26,71.7,"[71.95931077003479, 71.63951396942139, 71.51945233345032, 71.99947834014893, 71.38780355453491]","[70.25074005126953, 70.0433349609375, 69.82752227783203, 70.32984924316406, 69.71300506591797]","[73.47348022460938, 73.22383117675781, 73.12413787841797, 73.67303466796875, 73.0777816772461]","[0.860280729830265, 0.8622528985142708, 0.8431600406765938, 0.8733958937227726, 0.8533341810107231]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_c_beh_ba_CNN,100.0,70.79,73.61,71.59,70.63,74.22,73.87,72.11,66.15,72.17,1.65,72.23,"[70.86536884307861, 73.68491291999817, 71.63365483283997, 70.70804834365845, 74.27578568458557]","[69.24506378173828, 71.89122772216797, 70.21156311035156, 69.1955795288086, 72.66315460205078]","[72.36721801757812, 75.09527587890625, 73.03361511230469, 72.05807495117188, 75.60209655761719]","[0.7900252006947994, 0.8355805650353432, 0.7709162775427103, 0.7529107853770256, 0.7478668820112944]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
CW_c_beh_bb_MTCNN,100.0,74.5,74.9,74.91,75.14,74.77,76.57,74.53,70.82,74.85,0.24,74.87,"[74.53157305717468, 74.96773600578308, 74.91379976272583, 75.12783408164978, 74.82072710990906]","[72.87319946289062, 73.52031707763672, 73.56265258789062, 73.84048461914062, 73.43268585205078]","[75.9923095703125, 76.31744384765625, 76.1432113647461, 76.41555786132812, 76.322998046875]","[0.8128148503601551, 0.719704944640398, 0.7067753933370113, 0.6983309984207153, 0.7935610599815845]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
