,true,1,2,3,4,5,min3,min4,min5,accuracy_mean_over_folds,accuracy_std_over_folds,boot_acc_mean_over_folds,boot_mean_accs_of_folds,boot_quantile_lower_acc_of_folds,boot_quantile_upper_acc_of_folds,boot_accuracy_std_of_folds
CW_a_mor_aa_LOGR,100.0,77.29901677270098,76.92307692307693,77.08212839791787,77.1255060728745,77.18334297281666,77.38577212261423,75.37593984962406,72.59976865240023,77.12261422787739,0.13808370603022502,77.11537718772888,"[77.30255722999573, 76.92733407020569, 77.06282138824463, 77.12464928627014, 77.15952396392822]","[76.27618408203125, 75.9073257446289, 76.0488510131836, 76.17716217041016, 76.247802734375]","[78.31885528564453, 77.95330810546875, 78.11627960205078, 78.17649841308594, 78.24528503417969]","[0.5364763550460339, 0.5459977313876152, 0.5265291780233383, 0.5272500216960907, 0.5073345731943846]"
CW_a_mor_ba_CNN,100.0,78.64372469635627,78.62926547137073,77.99305957200694,78.26778484673221,79.23655292076344,79.1497975708502,75.36148062463852,68.4065934065934,78.5540775014459,0.46801900325851065,78.56493949890137,"[78.66581082344055, 78.64245176315308, 77.98578143119812, 78.28643918037415, 79.24421429634094]","[77.61355590820312, 77.6497802734375, 77.0072250366211, 77.3392333984375, 78.16199493408203]","[79.69419860839844, 79.6377944946289, 78.99798583984375, 79.1873550415039, 80.23985290527344]","[0.5054424051195383, 0.5190310534089804, 0.5126057658344507, 0.4937763325870037, 0.5212541669607162]"
CW_a_mor_bb_MTCNN,100.0,78.65818392134182,78.62926547137073,78.2244071717756,78.70156159629845,78.73048004626952,79.25101214574899,75.36148062463852,68.76807403123193,78.58877964141122,0.20737775146682763,78.59411597251892,"[78.64844799041748, 78.65964770317078, 78.23774218559265, 78.70248556137085, 78.72225642204285]","[77.72065734863281, 77.63787078857422, 77.11357116699219, 77.6853256225586, 77.60538482666016]","[79.68475341796875, 79.75060272216797, 79.25516510009766, 79.77499389648438, 79.7553939819336]","[0.5003172904253006, 0.5199186969548464, 0.5315916612744331, 0.5109249614179134, 0.5203633569180965]"
CW_a_mor_ca_HISAN,100.0,79.42452284557547,79.72816657027182,79.91613649508386,78.07981492192019,79.55465587044534,80.48004626951996,76.5615962984384,68.5801041064199,79.34065934065934,0.7286789517252137,79.33470606803894,"[79.42663431167603, 79.73303198814392, 79.92205619812012, 78.06616425514221, 79.52564358711243]","[78.25077819824219, 78.74307250976562, 78.89537048339844, 77.0122299194336, 78.57940673828125]","[80.3985366821289, 80.74214172363281, 80.86910247802734, 79.02236938476562, 80.49139404296875]","[0.5244582425802946, 0.4964000079780817, 0.5150712560862303, 0.5099243018776178, 0.49908547662198544]"
CW_a_mor_cb_MTHISAN,100.0,77.54482359745518,78.86061307113938,78.2967032967033,77.48698669751302,79.10641989589358,79.6124927703875,74.8554077501446,66.54135338345864,78.2591093117409,0.7395155034425885,78.25636625289917,"[77.53968834877014, 78.87483239173889, 78.28402519226074, 77.49750018119812, 79.08578515052795]","[76.49700927734375, 77.87298583984375, 77.2332763671875, 76.40906524658203, 78.055908203125]","[78.65100860595703, 79.88771057128906, 79.35546875, 78.4356689453125, 80.16797637939453]","[0.5263783968985081, 0.5245895124971867, 0.5237703211605549, 0.5259508732706308, 0.5177872255444527]"
CW_a_mor_da_BERT,100.0,81.57894736842105,81.43435511856565,81.56448814343551,81.33314054366686,80.4945054945055,82.0561017929439,78.8316946211683,73.56853672643146,81.28108733371892,0.4510953778135076,81.25486612319946,"[81.558096408844, 81.42706155776978, 81.52137994766235, 81.30256533622742, 80.46522736549377]","[80.6418685913086, 80.53475189208984, 80.6344223022461, 80.3633804321289, 79.53965759277344]","[82.42932891845703, 82.37736511230469, 82.46341705322266, 82.21837615966797, 81.3766860961914]","[0.47665461897850037, 0.4765210207551718, 0.4689399618655443, 0.4848073236644268, 0.47858129255473614]"
CW_a_mor_db_MTBERT,100.0,79.87275882012725,80.91382301908617,81.37651821862349,81.18854829381145,81.01503759398496,81.63678426836321,78.47021399652978,73.46732215153267,80.87333718912666,0.5863924386953113,80.84977984428406,"[79.85339164733887, 80.87319135665894, 81.36104345321655, 81.15893602371216, 81.00233674049377]","[78.82853698730469, 79.93010711669922, 80.41048431396484, 80.20310974121094, 80.05182647705078]","[80.85514068603516, 81.81710815429688, 82.30403137207031, 82.13529968261719, 81.86616516113281]","[0.5116112530231476, 0.494570005685091, 0.48389844596385956, 0.4920491948723793, 0.4770801402628422]"
CW_b_his_aa_LOGR,100.0,79.84384037015616,79.81492192018507,79.87275882012725,80.07518796992481,79.9305957200694,80.13302486986697,78.57142857142857,75.72296124927705,79.90746096009254,0.10305685182883585,79.90152478218079,"[79.8391342163086, 79.80237007141113, 79.86902594566345, 80.07339835166931, 79.92369532585144]","[78.91947937011719, 78.74868774414062, 78.87366485595703, 79.0762939453125, 78.99737548828125]","[80.77969360351562, 80.78169250488281, 80.74372100830078, 81.06390380859375, 80.95767211914062]","[0.4956993740051985, 0.512462854385376, 0.4919949918985367, 0.5003395490348339, 0.49300631508231163]"
CW_b_his_ba_CNN,100.0,81.13071139386929,81.11625216888375,79.9305957200694,81.14517061885483,80.9572006940428,81.91150954308848,77.79063042220938,70.70561017929438,80.855986119144,0.5228364584084603,80.84200143814087,"[81.09378814697266, 81.11534118652344, 79.92194890975952, 81.13283514976501, 80.94609379768372]","[80.19074249267578, 80.0513916015625, 78.93701934814453, 80.2405014038086, 79.98816680908203]","[82.01229095458984, 82.04695892333984, 80.85279083251953, 81.9947280883789, 81.92339324951172]","[0.4595670383423567, 0.5030364729464054, 0.48096487298607826, 0.4469181876629591, 0.4828705918043852]"
CW_b_his_bb_MTCNN,100.0,82.01272411798728,82.17177559282823,81.65124349334876,81.91150954308848,81.2753036437247,82.62001156737999,79.29438982070562,73.048004626952,81.80451127819549,0.35115382185052474,81.78276062011719,"[81.99182152748108, 82.15503096580505, 81.62615299224854, 81.8899929523468, 81.25080466270447]","[81.02916717529297, 81.19407653808594, 80.5754623413086, 80.90377807617188, 80.29476165771484]","[82.8743896484375, 83.0527572631836, 82.55512237548828, 82.81957244873047, 82.07772064208984]","[0.48309783451259136, 0.4710112698376179, 0.4957588855177164, 0.4814542829990387, 0.4767955746501684]"
CW_b_his_ca_HISAN,100.0,81.15962984384038,82.73568536726431,82.15731636784268,81.99826489300173,81.5934065934066,82.89473684210526,79.38114517061885,72.42625795257375,81.92886061307112,0.5941844296134485,81.91515445709229,"[81.14169239997864, 82.7280044555664, 82.14401006698608, 81.99419379234314, 81.56787157058716]","[80.2724838256836, 81.93374633789062, 81.26576232910156, 81.05496215820312, 80.56188201904297]","[82.11752319335938, 83.5997314453125, 83.06420135498047, 82.88414764404297, 82.4283676147461]","[0.49063866026699543, 0.4488588310778141, 0.46775382943451405, 0.4974537529051304, 0.4642191343009472]"
CW_b_his_cb_MTHISAN,100.0,82.25853094274147,82.60555234239445,82.38866396761134,82.14285714285714,82.43204164256795,83.05378831694621,79.67032967032966,73.64083285135918,82.36552920763447,0.17578516964059124,82.35440373420715,"[82.24255442619324, 82.60231018066406, 82.38952159881592, 82.13637471199036, 82.40125775337219]","[81.39928436279297, 81.88197326660156, 81.37942504882812, 81.29243469238281, 81.47388458251953]","[83.14141082763672, 83.44157409667969, 83.324462890625, 82.98381805419922, 83.28594970703125]","[0.47115092165768147, 0.425894558429718, 0.47814836725592613, 0.4432529676705599, 0.4523747134953737]"
CW_b_his_da_BERT,100.0,82.7646038172354,82.15731636784268,83.95026026604974,81.52111046847888,81.62232504337767,83.155002891845,79.65587044534414,73.25043377674957,82.40312319259687,0.9965333105906778,82.39784955978394,"[82.75058269500732, 82.15673565864563, 83.94699096679688, 81.53996467590332, 81.59497380256653]","[81.89734649658203, 81.28819274902344, 83.19182586669922, 80.6578598022461, 80.80028533935547]","[83.6435317993164, 82.99019622802734, 84.69847106933594, 82.44284057617188, 82.47672271728516]","[0.449206680059433, 0.44159223325550556, 0.41533689945936203, 0.45786513946950436, 0.43904478661715984]"
CW_b_his_db_MTBERT,100.0,82.40312319259687,82.57663389242337,82.5187969924812,82.63447079236553,81.9838056680162,82.95257374204743,79.9305957200694,74.23366107576635,82.42336610757664,0.2601857083117524,82.4129867553711,"[82.39769339561462, 82.5637936592102, 82.5185775756836, 82.60967135429382, 81.97519779205322]","[81.54570007324219, 81.66452026367188, 81.60211944580078, 81.72285461425781, 81.13396453857422]","[83.24047088623047, 83.4603042602539, 83.36907196044922, 83.45136260986328, 82.85249328613281]","[0.4368715453892946, 0.4646221175789833, 0.4408668726682663, 0.4375011660158634, 0.4372307099401951]"
CW_c_beh_aa_LOGR,100.0,88.18681318681318,88.0133024869867,87.99884326200116,88.20127241179873,87.88316946211683,88.23019086176981,87.46385193753615,85.87333718912666,88.05668016194332,0.13525366493543697,88.07447075843811,"[88.19791674613953, 88.02714943885803, 88.01711797714233, 88.22857737541199, 87.90159225463867]","[87.43846893310547, 87.2404556274414, 87.23314666748047, 87.3990707397461, 87.11764526367188]","[88.95216369628906, 88.78335571289062, 88.80867004394531, 89.004638671875, 88.58411407470703]","[0.3850068897008896, 0.3989921882748604, 0.40029161609709263, 0.40502287447452545, 0.3941532224416733]"
