,accuracy,f1_macro,f1_weighted,best_epoch
best_ep6_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwFalse,0.8771598272138229,0.7087601487214509,0.8735767289311143,6
best_ep6_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwbl1,0.8625809935205183,0.70693592573778,0.8673214684490301,6
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwbl1,0.8790496760259179,0.7059636235371901,0.8737882559019944,5
best_ep19_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwbl1,0.8669006479481641,0.6959683008571796,0.8660472550331244,19
best_ep30_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwbl1,0.8733801295896328,0.6934939564093644,0.8687736916120341,30
best_ep34_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwFalse,0.8755399568034558,0.6564028384637993,0.8610794670001727,34
best_ep23_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwFalse,0.8741900647948164,0.6554058272991864,0.8608058828109104,23
best_ep21_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwbl015,0.8731101511879049,0.653410512140665,0.8603213050569058,21
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwbl015,0.875,0.6527566212173203,0.8595461521725176,5
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwbl015,0.8755399568034558,0.6497345008511262,0.8598540552045313,5
best_ep28_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwbl015,0.8741900647948164,0.6359730593012527,0.8564336307569033,28
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwFalse,0.8709503239740821,0.63212026124379,0.8537689144976605,5
