,accuracy,f1_macro,f1_weighted,best_epoch
best_ep10_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwbl015,0.8061555075593952,0.6280994899927033,0.8004231752337194,10
best_ep52_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwbl015,0.8021058315334774,0.6100708138812527,0.7902195868888305,52
best_ep38_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwbl015,0.8010259179265659,0.6091220573313101,0.7907034789391174,38
best_ep54_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwbl1,0.7918466522678186,0.603520442248591,0.7858458371743106,54
best_ep9_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwbl1,0.7913066954643628,0.5985879464190297,0.7889663522230667,9
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwbl015,0.7956263498920086,0.5981469695545992,0.7895191401213899,5
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwbl1,0.7780777537796977,0.5921895586086323,0.7768036123915959,5
best_ep56_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwFalse,0.8083153347732182,0.5921432541903064,0.795822792714296,56
best_ep34_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwbl1,0.7823974082073434,0.5903332400031462,0.7773594028438013,34
best_ep8_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwFalse,0.8042656587473002,0.5886526542486895,0.7938879813010016,8
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwFalse,0.7991360691144709,0.5878972504803451,0.7883097782008842,5
best_ep32_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwFalse,0.7958963282937365,0.5628547876254573,0.7836378905458619,32
