,accuracy,f1_macro,f1_weighted,best_epoch
best_ep13_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwbl015,0.9775917926565875,0.9563994508611845,0.9775408379843347,13
best_ep11_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwbl1,0.9759719222462203,0.9514826344856447,0.9760055750740128,11
best_ep9_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf100dr0.5cwFalse,0.974622030237581,0.9489104372608549,0.9743526227493533,9
best_ep52_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwFalse,0.9708423326133909,0.9374990291613461,0.970549643322835,52
best_ep5_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwFalse,0.968682505399568,0.9355386620556914,0.9683255809215093,5
best_ep26_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwbl015,0.9681425485961123,0.934449367130115,0.9679321287635525,26
best_ep38_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwbl1,0.9694924406047516,0.9331725409904568,0.9695335902681959,38
best_ep26_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwbl1,0.9673326133909287,0.9311802975122461,0.9673793239569839,26
best_ep39_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf100dr0.5cwbl015,0.9673326133909287,0.9298657015901566,0.9670269576491719,39
best_ep7_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwbl015,0.9673326133909287,0.9269533724520245,0.9671063546278705,7
best_ep21_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.0001nf300dr0.5cwFalse,0.9659827213822895,0.9231153096903902,0.9654848087095632,21
best_ep3_CNN_s42_bs128_p5_max500_unk2_emb300--lr0.001nf300dr0.5cwbl1,0.9584233261339092,0.9058292368887871,0.9594051638050427,3
