,accuracy,f1_macro,f1_weighted,best_epoch
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead32,0.8793196544276458,0.7241492074544952,0.8778960687021296,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad128,0.8785097192224622,0.7183726269357017,0.8763281891753211,2
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead128,0.8806695464362851,0.7165482966539815,0.8771417014341732,3
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad32,0.8696004319654428,0.715350879315151,0.8719608976496803,3
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead32,0.8817494600431965,0.715160984974884,0.877514372064306,4
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad64,0.8790496760259179,0.7120905997000205,0.8749914028249104,2
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad128,0.8812095032397408,0.7120678281723526,0.8761585380891854,3
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead64,0.880939524838013,0.7092042721729098,0.8757089991535122,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad128,0.8631209503239741,0.7086109689740865,0.8671676002218744,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead128,0.8822894168466523,0.7059961483064313,0.8759207641066524,2
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead64,0.8793196544276458,0.7050626335372906,0.8740398992121499,3
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad32,0.8588012958963283,0.7039486881454055,0.8640431292825025,2
best_ep1_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad64,0.8571814254859611,0.70299693001103,0.863105193181819,1
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad32,0.8776997840172787,0.7026026185028372,0.8732111692267659,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad64,0.857451403887689,0.7025026125612451,0.8636007293381225,2
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad32,0.8771598272138229,0.698647475369801,0.8720370544330084,3
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad64,0.8787796976241901,0.6934725832396779,0.8721644146176306,2
best_ep1_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad128,0.8469222462203023,0.6918904582253619,0.8551796938407403,1
