,accuracy,f1_macro,f1_weighted,best_epoch
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad64,0.802645788336933,0.6355456265437875,0.7969808604188794,2
best_ep6_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad32,0.8039956803455723,0.6352506958571811,0.8011468184256689,6
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad128,0.8050755939524838,0.6339456491459673,0.7990727493146547,3
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad64,0.7956263498920086,0.6285030655568128,0.7927258594892397,4
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad128,0.8045356371490281,0.6280870048706345,0.7999357679733251,2
best_ep5_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad64,0.7791576673866091,0.6263543940658758,0.7830802962482769,5
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead64,0.8131749460043196,0.6252270171045804,0.8046622830878528,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead32,0.8107451403887689,0.6230322564379455,0.8010868786142674,2
best_ep5_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad32,0.7829373650107991,0.6198906191931108,0.7823307642712951,5
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad32,0.7950863930885529,0.6195968745127861,0.7905620504251232,3
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad128,0.7848272138228942,0.6180374237851987,0.7873106006938447,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead128,0.808585313174946,0.6167731152434519,0.7993258588441041,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad32,0.79670626349892,0.6165147311176266,0.7938411598055599,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad64,0.7742980561555075,0.6162470220764354,0.778792063214128,2
best_ep5_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead32,0.806695464362851,0.6147441780581585,0.797445852104197,5
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead64,0.8053455723542117,0.6106619712964517,0.7971013919308554,4
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad128,0.7767278617710583,0.6056538202904537,0.7785522426840223,3
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead128,0.8023758099352052,0.5951538768978346,0.7919096266961962,3
