,accuracy,f1_macro,f1_weighted,best_epoch
best_ep5_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead64,0.9794816414686826,0.960328268856265,0.9795111966319194,5
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad32,0.9794816414686826,0.9594901715263365,0.9794619970052804,3
best_ep6_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad128,0.978671706263499,0.9572258165057714,0.9786431010963942,6
best_ep5_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead64,0.978671706263499,0.9553475821694455,0.978573837979571,5
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead32,0.9775917926565875,0.9552097501238345,0.9776260085770124,3
best_ep5_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead32,0.978401727861771,0.9551358986877354,0.9782669870129749,5
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad64,0.9765118790496761,0.9525066005002979,0.9764409072272072,4
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwFalsead128,0.9765118790496761,0.951032817975,0.9764942570119793,2
best_ep6_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwFalsead128,0.9757019438444925,0.9491814929240645,0.9759098215047138,6
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad64,0.9740820734341252,0.9488815662099144,0.9740946260416758,2
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad32,0.9740820734341252,0.9481075538727618,0.9741963247964809,2
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad64,0.9759719222462203,0.9472734184274304,0.9761385295706607,4
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad64,0.9759719222462203,0.945096705222577,0.9761998221239152,2
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad128,0.972732181425486,0.9446795998954847,0.9728688145909286,3
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl015ad128,0.9738120950323974,0.944098878826257,0.9737260505605372,2
best_ep3_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl1ad32,0.974622030237581,0.9436175666646847,0.9746437884056726,3
best_ep2_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.001cwbl1ad128,0.9700323974082073,0.9407509248563939,0.9704573625183287,2
best_ep4_HISAN_s42_bs64_p5_max100_unk2_emb300_ah8_sent_150-50--lr0.0005cwbl015ad32,0.9719222462203023,0.935893970410945,0.9719846925669399,4
